step,reward_mean,reward_std,rollouts,correct,humble_wrong,overconfident_wrong,abstain_humble,neutral,accuracy_pct,overconfident_pct
-1_init_eval,0.000,0.000,0,5,15,0,0,0,25.0,0.0
1,0.202,0.550,200,39,153,8,0,0,19.5,4.0
2,0.169,0.499,200,35,158,7,0,0,17.5,3.5
3,0.186,0.493,200,36,160,4,0,0,18.0,2.0
4,0.243,0.550,200,45,149,5,0,1,22.5,2.5
5,0.254,0.540,200,45,153,2,0,0,22.5,1.0
6,0.271,0.570,200,50,144,6,0,0,25.0,3.0
7,0.365,0.615,200,64,131,5,0,0,32.0,2.5
8,0.370,0.624,200,66,127,7,0,0,33.0,3.5
9,0.493,0.676,200,83,109,7,1,0,41.5,3.5
10,0.433,0.709,200,81,99,19,1,0,40.5,9.5
11,0.514,0.724,200,89,95,15,1,0,44.5,7.5
12,0.608,0.730,200,106,78,16,0,0,53.0,8.0
13,0.639,0.716,200,109,78,13,0,0,54.5,6.5
14,0.639,0.765,200,112,66,22,0,0,56.0,11.0
15,0.724,0.795,200,119,58,21,1,1,59.5,10.5
16,0.734,0.803,200,124,51,25,0,0,62.0,12.5
17,0.780,0.809,200,131,39,28,2,0,65.5,14.0
18,0.794,0.801,200,131,45,24,0,0,65.5,12.0
19,0.823,0.780,200,136,41,23,0,0,68.0,11.5
20,0.901,0.765,200,144,36,20,0,0,72.0,10.0
